,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente
474,Almodôvar,2022,9,Beja,3303,2360
475,Almodôvar,2022,10,Beja,3262,2397
476,Almodôvar,2022,11,Beja,2647,3015
477,Almodôvar,2022,12,Beja,2564,3099
478,Almodôvar,2023,1,Beja,2229,3440
479,Almodôvar,2023,2,Beja,2298,3378
480,Almodôvar,2023,3,Beja,2014,3662
481,Almodôvar,2023,4,Beja,1962,3713
482,Almodôvar,2023,5,Beja,1974,3701
483,Almodôvar,2023,6,Beja,1900,3793
484,Almodôvar,2023,7,Beja,1761,3937
485,Almodôvar,2023,8,Beja,1645,4057
486,Almodôvar,2023,9,Beja,1225,4480
487,Almodôvar,2023,10,Beja,1204,4499
488,Almodôvar,2023,11,Beja,1095,4613
489,Almodôvar,2023,12,Beja,1061,4650
490,Almodôvar,2024,1,Beja,1067,4650
491,Almodôvar,2024,2,Beja,1001,4717
492,Almodôvar,2024,3,Beja,661,5062
493,Almodôvar,2024,4,Beja,644,5079
494,Alpiarça,2022,3,Santarém,488,3999
495,Alpiarça,2022,4,Santarém,506,3991
496,Alpiarça,2022,5,Santarém,492,4051
497,Alpiarça,2022,6,Santarém,539,4038
498,Alpiarça,2022,7,Santarém,440,4142
499,Alpiarça,2022,8,Santarém,451,4130
500,Alpiarça,2022,9,Santarém,409,4130
501,Alpiarça,2022,10,Santarém,425,4095
502,Alpiarça,2022,11,Santarém,419,4091
503,Alpiarça,2022,12,Santarém,400,4106
504,Alpiarça,2023,1,Santarém,397,4112
505,Alpiarça,2023,2,Santarém,421,4089
506,Alpiarça,2023,3,Santarém,403,4118
507,Alpiarça,2023,4,Santarém,370,4151
508,Alpiarça,2023,5,Santarém,346,4175
509,Alpiarça,2023,6,Santarém,412,4218
510,Alpiarça,2023,7,Santarém,383,4255
511,Alpiarça,2023,8,Santarém,369,4268
512,Alpiarça,2023,9,Santarém,342,4270
