,concelho,ano,mes,distrito,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao
293,Alfândega da Fé,2022,10,Bragança,6,0,25,25,7,8
294,Alfândega da Fé,2022,11,Bragança,46,0,20,16,11,11
295,Alfândega da Fé,2022,12,Bragança,65,0,20,18,8,7
296,Alfândega da Fé,2023,1,Bragança,33,0,27,24,16,14
297,Alfândega da Fé,2023,2,Bragança,24,1,25,19,8,7
298,Alfândega da Fé,2023,3,Bragança,32,0,26,19,12,9
299,Alfândega da Fé,2023,4,Bragança,32,0,23,25,15,15
300,Alfândega da Fé,2023,5,Bragança,27,0,34,24,6,15
301,Alfândega da Fé,2023,6,Bragança,11,0,28,27,5,12
302,Alfândega da Fé,2023,7,Bragança,2,0,26,16,10,8
303,Alfândega da Fé,2023,8,Bragança,1,0,25,19,12,14
304,Alfândega da Fé,2023,9,Bragança,6,0,16,14,12,9
305,Alfândega da Fé,2023,10,Bragança,5,0,23,18,10,9
306,Alfândega da Fé,2023,11,Bragança,0,0,32,18,11,4
307,Alfândega da Fé,2023,12,Bragança,0,0,12,12,11,12
308,Alfândega da Fé,2024,1,Bragança,2,0,27,23,18,7
309,Alfândega da Fé,2024,2,Bragança,3,0,12,6,7,3
310,Alfândega da Fé,2024,3,Bragança,1,0,13,13,6,7
311,Alfândega da Fé,2024,4,Bragança,2,0,5,4,1,0
312,Alijó,2022,3,Vila Real,1,0,7,6,1,8
313,Alijó,2022,4,Vila Real,4,0,21,24,14,9
314,Alijó,2022,5,Vila Real,4,0,24,18,8,10
315,Alijó,2022,6,Vila Real,6,0,33,30,11,10
316,Alijó,2022,7,Vila Real,5,0,30,25,6,6
317,Alijó,2022,8,Vila Real,2,0,39,30,9,12
318,Alijó,2022,9,Vila Real,7,0,31,28,10,9
319,Alijó,2022,10,Vila Real,9,0,25,24,12,8
320,Alijó,2022,11,Vila Real,68,0,13,15,11,9
321,Alijó,2022,12,Vila Real,52,0,36,23,20,10
322,Alijó,2023,1,Vila Real,41,0,24,16,19,8
323,Alijó,2023,2,Vila Real,24,0,27,22,23,12
324,Alijó,2023,3,Vila Real,35,1,27,23,12,6
325,Alijó,2023,4,Vila Real,24,0,26,21,5,12
326,Alijó,2023,5,Vila Real,21,0,36,30,13,12
327,Alijó,2023,6,Vila Real,5,0,28,17,10,10
328,Alijó,2023,7,Vila Real,0,0,23,23,5,12
329,Alijó,2023,8,Vila Real,2,0,30,25,10,10
330,Alijó,2023,9,Vila Real,3,0,21,14,6,5
331,Alijó,2023,10,Vila Real,4,0,24,18,10,5
332,Alijó,2023,11,Vila Real,2,0,33,23,13,13
333,Alijó,2023,12,Vila Real,1,0,29,18,12,3
334,Alijó,2024,1,Vila Real,1,0,21,15,11,9
335,Alijó,2024,2,Vila Real,2,0,26,15,14,5
336,Alijó,2024,3,Vila Real,3,0,26,24,16,10
337,Alijó,2024,4,Vila Real,0,0,6,3,0,0
338,Aljezur,2022,3,Faro,1,0,1,2,1,5
339,Aljezur,2022,4,Faro,2,0,2,2,5,7
340,Aljezur,2022,5,Faro,4,0,3,4,14,2
341,Aljezur,2022,6,Faro,1,0,4,3,6,1
342,Aljezur,2022,7,Faro,1,0,3,2,9,2
343,Aljezur,2022,8,Faro,1,0,5,4,6,7
344,Aljezur,2022,9,Faro,7,1,10,6,10,1
345,Aljezur,2022,10,Faro,9,0,11,12,8,6
346,Aljezur,2022,11,Faro,56,0,12,11,15,10
347,Aljezur,2022,12,Faro,118,0,10,10,11,12
348,Aljezur,2023,1,Faro,141,0,20,14,13,8
349,Aljezur,2023,2,Faro,119,0,12,7,7,2
350,Aljezur,2023,3,Faro,89,0,17,14,11,13
351,Aljezur,2023,4,Faro,163,0,14,16,10,18
352,Aljezur,2023,5,Faro,99,0,19,15,11,8
353,Aljezur,2023,6,Faro,20,0,18,13,10,15
354,Aljezur,2023,7,Faro,2,0,28,29,14,16
355,Aljezur,2023,8,Faro,0,0,16,13,6,10
356,Aljezur,2023,9,Faro,4,0,13,15,8,10
