,Ano,Mês,Concelho,Energia Ativa (kWh)
79681,2022,2,Cantanhede,251362.51
79682,2022,11,Arcos de Valdevez,34933.467
79683,2022,2,Coimbra,429925.326
79684,2022,11,Caminha,253699.333
79685,2022,2,Portel,120997.484
79686,2022,2,Vila do Bispo,141161.276
79687,2022,2,Celorico da Beira,48743.871
79688,2022,2,Trancoso,50872.935
79689,2022,2,Odivelas,4378630.103
79690,2022,2,Alter do Chão,38620.249
79691,2022,2,Portalegre,163005.258
79692,2022,2,Arcos de Valdevez,148072.1
79693,2022,3,Braga,646426.885
79694,2022,3,Esposende,362895.171
79695,2022,3,Carrazeda de Ansiães,47476.321
79696,2022,3,Olhão,2494735.321
79697,2022,3,Vila Nova de Gaia,3557130.53
79698,2022,3,Santiago do Cacém,1423942.63
79699,2022,3,Chaves,70189.452
79700,2022,3,Montalegre,36254.268
79701,2022,3,Castro daire,59176.543
79702,2022,3,Penalva do Castelo,38850.808
79703,2022,4,Fafe,75407.795
79704,2022,4,Miranda do Corvo,101327.245
79705,2022,4,Celorico da Beira,95149.801
79706,2022,4,Trancoso,28420.335
79707,2022,4,Penafiel,2939624.231
79708,2022,4,Palmela,1863710.847
79709,2022,4,Penedono,251928.259
79710,2022,5,Póvoa de Varzim,363597.371
79711,2022,5,Grândola,132619.839
79712,2022,5,Tondela,129560.598
79713,2022,6,Vieira do Minho,125544.968
79714,2022,6,Figueira de Castelo Rodrigo,10671.775
79715,2022,6,Alcobaça,891316.7
79716,2022,6,Torres Vedras,1361808.564
79717,2022,6,Paredes,60692.612
79718,2022,6,Vila do Conde,4391002.172
79719,2022,6,Salvaterra de Magos,468565.623
79720,2022,7,Coimbra,354998.586
79721,2022,7,Paços de Ferreira,1692628.614
